"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Sep-28-2024)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Female,Overall,7.1,2.6,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Male,Overall,5.4,2.1,null,null
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,White,4,1.6,2.58,0.97
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Black,9,2.8,7.68,2.18
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Hispanic/Latino,9.7,3.6,7.5,2.73
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Asian/Pacific Islander,2.5,0.9,2.23,0.62
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,American Indian/Alaska Native,12.1,4.9,5.52,0.4
Entire Network,FluSurv-NET,2009-10,2009,40,Overall,Overall,Overall,6.2,2.4,4.08,1.4
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Male,Overall,8.5,3.1,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Female,Overall,10.2,3.2,null,null
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,White,6.3,2.3,4.38,1.8
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Black,12.9,3.9,11.08,3.39
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Hispanic/Latino,13.2,3.5,12.38,4.88
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Asian/Pacific Islander,3.4,0.9,3.59,1.37
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,American Indian/Alaska Native,23.6,11.5,9.83,4.31
Entire Network,FluSurv-NET,2009-10,2009,41,Overall,Overall,Overall,9.4,3.2,6.47,2.4
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Male,Overall,11.7,3.2,null,null
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Female,Overall,13.8,3.5,null,null
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Overall,White,9.2,2.9,6.96,2.58
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Overall,Black,16.8,3.9,15.86,4.78
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Overall,Hispanic/Latino,16.6,3.5,17.04,4.66
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Overall,Asian/Pacific Islander,4.7,1.3,4.99,1.4
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Overall,American Indian/Alaska Native,30.7,7.1,19.33,9.5
Entire Network,FluSurv-NET,2009-10,2009,42,Overall,Overall,Overall,12.8,3.4,9.58,3.1
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Female,Overall,16.6,2.9,null,null
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Male,Overall,14.7,3,null,null
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Overall,White,11.9,2.7,10.14,3.19
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Overall,Black,20.2,3.5,20.7,4.84
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Overall,Hispanic/Latino,19.2,2.6,22.02,4.98
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Overall,Asian/Pacific Islander,5.9,1.1,6.99,2
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Overall,American Indian/Alaska Native,36.2,5.5,25.09,5.76
Entire Network,FluSurv-NET,2009-10,2009,43,Overall,Overall,Overall,15.7,2.9,13.08,3.5
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Female,Overall,18.9,2.2,null,null
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Male,Overall,17,2.3,null,null
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Overall,White,13.9,2,13.08,2.94
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Overall,Black,23,2.8,25.1,4.4
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Overall,Hispanic/Latino,21.6,2.3,25.44,3.41
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Overall,Asian/Pacific Islander,6.6,0.8,8.62,1.63
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Overall,American Indian/Alaska Native,43.3,7.1,29.62,4.53
Entire Network,FluSurv-NET,2009-10,2009,44,Overall,Overall,Overall,17.9,2.2,16.18,3.1
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Male,Overall,18.3,1.4,null,null
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Female,Overall,20.5,1.7,null,null
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Overall,White,15.3,1.4,15.2,2.12
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Overall,Black,24.8,1.8,28.76,3.65
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Overall,Hispanic/Latino,22.6,1,28.34,2.91
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Overall,Asian/Pacific Islander,7.5,0.9,9.8,1.18
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Overall,American Indian/Alaska Native,45,1.6,35.54,5.91
Entire Network,FluSurv-NET,2009-10,2009,45,Overall,Overall,Overall,19.4,1.5,18.6,2.42
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Female,Overall,21.6,1.1,null,null
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Male,Overall,19.4,1,null,null
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Overall,White,16.2,0.9,16.72,1.52
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Overall,Black,26.3,1.5,31.14,2.38
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Overall,Hispanic/Latino,23.6,1,29.84,1.49
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Overall,Asian/Pacific Islander,8,0.5,11.14,1.34
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Overall,American Indian/Alaska Native,46.1,1.1,36.85,1.31
Entire Network,FluSurv-NET,2009-10,2009,46,Overall,Overall,Overall,20.5,1.1,20.18,1.58
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Female,Overall,22.3,0.7,null,null
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Male,Overall,20,0.6,null,null
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Overall,White,16.7,0.5,17.7,0.98
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Overall,Black,27.1,0.8,33.16,2.02
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Overall,Hispanic/Latino,24.4,0.8,31.57,1.74
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Overall,Asian/Pacific Islander,8.3,0.2,11.87,0.72
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Overall,American Indian/Alaska Native,47.7,1.6,37.72,0.87
Entire Network,FluSurv-NET,2009-10,2009,47,Overall,Overall,Overall,21.1,0.6,21.33,1.15
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Male,Overall,20.3,0.4,null,null
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Female,Overall,22.7,0.5,null,null
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Overall,White,17.1,0.4,18.23,0.53
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Overall,Black,27.6,0.5,34.2,1.04
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Overall,Hispanic/Latino,24.8,0.4,32.55,0.98
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Overall,Asian/Pacific Islander,8.5,0.3,12.21,0.34
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Overall,American Indian/Alaska Native,48.3,0.5,39.15,1.42
Entire Network,FluSurv-NET,2009-10,2009,48,Overall,Overall,Overall,21.6,0.4,22.01,0.68
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Male,Overall,20.7,0.4,null,null
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Female,Overall,23,0.2,null,null
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Overall,White,17.4,0.3,18.62,0.38
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Overall,Black,27.8,0.2,34.86,0.66
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Overall,Hispanic/Latino,25.2,0.4,33.12,0.57
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Overall,Asian/Pacific Islander,8.8,0.3,12.59,0.38
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Overall,American Indian/Alaska Native,48.3,0,39.55,0.4
Entire Network,FluSurv-NET,2009-10,2009,49,Overall,Overall,Overall,21.9,0.3,22.46,0.45
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Female,Overall,23.3,0.3,null,null
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Male,Overall,20.9,0.2,null,null
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Overall,White,17.6,0.2,18.9,0.29
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Overall,Black,28.1,0.3,35.12,0.26
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Overall,Hispanic/Latino,25.5,0.2,33.69,0.57
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Overall,Asian/Pacific Islander,9,0.2,12.95,0.36
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Overall,American Indian/Alaska Native,48.8,0.5,39.55,0
Entire Network,FluSurv-NET,2009-10,2009,50,Overall,Overall,Overall,22.1,0.2,22.77,0.31
Entire Network,FluSurv-NET,2009-10,2009,51,Overall,Male,Overall,21,0.2,null,null
