MMWR_WEEK,WEEK_START,WEEK_END,FLU_RISK_LEVEL,INFLUENZA_SEASON,HOSP_FLU_ICU_WEEKLY,HOSP_FLU_ICU_CUMULATIVE,LAB_FLU_TESTED,LAB_FLU_POSITIVE,LAB_FLU_PCT_POSITIVE,LAB_TOT_A_POSITIVE,LAB_TOT_B_POSITIVE,LAB_TOT_H1N1_POSITIVE,LAB_TOT_H3N2_POSITIVE,LAB_TOT_NOTSUBTYPED_POSITIVE,LAB_TOT_TESTED_CUMULATIVE,LAB_TOT_POSITIVE_CUMULATIVE,LAB_PCT_POSITIVE_CUMULATIVE,ILI_TOT_ILI_ILINET,ILI_TOT_SEEN_ILINET,ILI_PCT_POSITIVE_ILINET,ILI_TOT_ILI_ESSENCE,ILI_TOT_SEEN_ESSENCE,ILI_PCT_POSITIVE_ESSENCE,PEDIATRIC_DEATHS,RECORD_ID
201540,10/04/2015,10/10/2015,LOW,2015-2016,0,0,456,3,0.66,2,1,0,1,1,456,3,0.66,277,7631,3.63,420,23008,1.83,0,2015-40
201541,10/11/2015,10/17/2015,LOW,2015-2016,1,1,501,3,0.60,3,0,2,1,0,957,6,0.63,271,6997,3.87,496,24540,2.02,0,2015-41
201542,10/18/2015,10/24/2015,LOW,2015-2016,0,1,451,1,0.22,1,0,1,0,0,1408,7,0.50,310,7834,3.96,454,23500,1.93,0,2015-42
201543,10/25/2015,10/31/2015,LOW,2015-2016,1,2,507,4,0.79,3,1,1,1,1,1915,11,0.57,271,6755,4.01,355,22499,1.58,0,2015-43
201544,11/01/2015,11/07/2015,LOW,2015-2016,1,3,480,2,0.42,2,0,0,0,2,2395,13,0.54,318,7676,4.14,395,24036,1.64,0,2015-44
201545,11/08/2015,11/14/2015,LOW,2015-2016,2,5,359,5,1.39,5,0,0,1,4,2754,18,0.65,354,7465,4.74,434,23213,1.87,0,2015-45
201546,11/15/2015,11/21/2015,LOW,2015-2016,1,6,526,6,1.14,6,0,3,0,3,3280,24,0.73,330,7496,4.40,463,23574,1.96,0,2015-46
201547,11/22/2015,11/28/2015,LOW,2015-2016,0,6,434,2,0.46,1,1,1,0,0,3714,26,0.70,261,5439,4.80,369,21116,1.75,0,2015-47
201548,11/29/2015,12/05/2015,LOW,2015-2016,0,6,555,2,0.36,2,0,2,0,0,4269,28,0.66,374,7231,5.17,528,24357,2.17,0,2015-48
201549,12/06/2015,12/12/2015,LOW,2015-2016,0,6,477,3,0.63,2,1,2,0,0,4746,31,0.65,408,7676,5.32,527,24795,2.13,0,2015-49
201550,12/13/2015,12/19/2015,LOW,2015-2016,2,8,544,7,1.29,7,0,5,1,1,5290,38,0.72,413,7169,5.76,535,24306,2.20,0,2015-50
201551,12/20/2015,12/26/2015,INCREASING,2015-2016,4,12,547,5,0.91,5,0,3,0,2,5837,43,0.74,284,4428,6.41,670,23151,2.89,0,2015-51
201552,12/27/2015,01/02/2016,INCREASING,2015-2016,2,14,566,6,1.06,5,1,5,0,0,6403,49,0.76,282,4324,6.52,623,21956,2.84,0,2015-52
201601,01/03/2016,01/09/2016,INCREASING,2015-2016,3,17,631,28,4.44,28,0,17,0,11,7034,77,1.10,463,7721,6.00,653,26665,2.45,0,2016-01
201602,01/10/2016,01/16/2016,INCREASING,2015-2016,7,24,560,17,3.04,16,1,13,1,2,7594,94,1.24,440,7599,5.79,683,25602,2.67,0,2016-02
201603,01/17/2016,01/23/2016,INCREASING,2015-2016,5,29,586,19,3.24,18,1,13,2,3,8180,113,1.38,391,7338,5.33,644,25328,2.54,0,2016-03
201604,01/24/2016,01/30/2016,INCREASING,2015-2016,15,44,639,41,6.42,39,2,35,0,4,8819,154,1.75,444,7804,5.69,775,25945,2.99,1,2016-04
201605,01/31/2016,02/06/2016,INCREASING,2015-2016,9,53,693,81,11.69,76,5,64,1,11,9512,235,2.47,494,7813,6.32,734,25282,2.90,0,2016-05
201606,02/07/2016,02/13/2016,INCREASING,2015-2016,22,75,775,122,15.74,119,3,102,1,16,10287,357,3.47,531,7557,7.03,943,25650,3.68,0,2016-06
201607,02/14/2016,02/20/2016,INCREASING,2015-2016,29,104,775,163,21.03,159,4,135,5,19,11062,520,4.70,573,7601,7.54,1122,25915,4.33,0,2016-07
201608,02/21/2016,02/27/2016,INCREASING,2015-2016,36,140,987,188,19.05,182,6,136,5,41,12049,708,5.88,578,7784,7.43,1242,27671,4.49,0,2016-08
201609,02/28/2016,03/05/2016,INCREASING,2015-2016,30,170,1045,219,20.96,209,10,178,5,26,13094,927,7.08,589,7398,7.96,1225,26937,4.55,0,2016-09
201610,03/06/2016,03/12/2016,HIGH,2015-2016,37,207,1064,205,19.27,195,10,157,2,36,14158,1132,8.00,530,8080,6.56,1140,28018,4.07,0,2016-10
201611,03/13/2016,03/19/2016,HIGH,2015-2016,21,228,860,125,14.54,118,7,88,5,25,15018,1257,8.37,460,7848,5.86,851,26383,3.23,0,2016-11
201612,03/20/2016,03/26/2016,DECREASING,2015-2016,15,243,852,89,10.45,77,12,59,3,15,15870,1346,8.48,391,7615,5.13,600,23010,2.61,0,2016-12
